maxDepth,maxIter,metric_auc_roc_mean,num_folds,run_id,sample_fraction
5,30,0.8674660770968106,2,20260228_122712,0.1
4,30,0.8648762452874326,2,20260228_122712,0.1
5,20,0.8647962954831347,2,20260228_122712,0.1
4,20,0.8619376946235808,2,20260228_122712,0.1
